name,address,lat,lon,rating,ratings_count,reviews_count,description,rubrics,schedule,category
"Boho36, гостевой дом","улица Бекзада, 36",43.154041,76.906879,4.7,91,59,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Mon': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}}",глэмпинг
"Green Hill Glamping, база отдыха","СТ Сталь, 25",43.246779,77.023337,4.6,56,26,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}}",глэмпинг
"Muztay Camp, зона отдыха","улица Бейсеуова, 529",43.181228,77.094645,4.9,185,72,,"Базы отдыха, Кемпинги","{'Fri': {'working_hours': [{'from': '10:00', 'to': '20:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '21:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '20:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '20:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '20:00'}]}}",глэмпинг
"Tauda, база отдыха","СТ Домостроитель территория, 55",43.1677,76.969718,4.9,61,31,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Nomad Camp, база отдыха","Центральная улица, 76/1",43.169488,76.922412,4.6,139,56,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"tau-tas, база отдыха","Кокшокы улица, 1в/1",43.102021,76.943183,4.6,248,107,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Dobri Dom, гостевой дом","улица Тажиева, 646Б",43.134787,76.866828,4.9,90,63,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '22:00'}]}}",глэмпинг
"Boho 160, гостевой дом","СТ Горный садовод территория, 160",43.1889,76.954935,4.9,46,15,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Mon': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}}",глэмпинг
"Kolsay Lakes, база отдыха","улица Ниязбекова, 6",43.066605,78.405583,4.3,36,20,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Kolsay Eco House, база отдыха","Шамбылулы улица, 45",43.071007,78.399289,5,89,62,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
